Index,X (m),Y (m),Z (m),Distance from Origin (m)
137,4.0916,3.6927,-0.3969,5.5258
138,15.3980,-2.9615,-0.3914,15.6851
139,19.4221,1.6489,-0.3889,19.4958
140,-1.2234,7.0253,-0.3857,7.1415
141,19.2736,10.0621,-0.3849,21.7454
142,1.4577,4.2889,-0.3817,4.5459
143,12.0487,0.6973,-0.3815,12.0748
144,5.7991,0.7893,-0.3728,5.8644
145,6.5519,2.1277,-0.3714,6.8988
146,1.5144,3.8074,-0.3706,4.1143
147,17.5051,-0.6802,-0.3694,17.5222
148,23.3259,-4.2866,-0.3656,23.7194
149,11.6429,3.5954,-0.3633,12.1908
150,0.1901,4.5797,-0.3618,4.5979
151,24.4485,0.8320,-0.3590,24.4653
152,29.4876,6.6661,-0.3577,30.2338
153,9.6808,-0.5183,-0.3549,9.7012
154,0.0502,4.3751,-0.3543,4.3897
155,18.4966,0.2317,-0.3538,18.5015
156,-0.9443,4.3887,-0.3532,4.5030
157,1.9768,3.1823,-0.3527,3.7629
158,25.9283,1.6310,-0.3519,25.9819
159,14.2406,2.9043,-0.3517,14.5380
160,1.6299,3.2300,-0.3449,3.6343
161,11.3121,3.7353,-0.3445,11.9179
162,26.5141,5.0548,-0.3440,26.9938
163,1.6758,3.5174,-0.3434,3.9113
164,11.5568,3.8579,-0.3419,12.1885
165,23.0439,0.3133,-0.3393,23.0485
166,25.3075,9.9369,-0.3300,27.1904
167,3.2745,1.8706,-0.3273,3.7853
168,13.8712,-0.9759,-0.3189,13.9091
169,2.2702,2.2799,-0.3178,3.2330
170,2.1979,2.6825,-0.3165,3.4823
171,0.2928,-0.2520,-0.3143,0.4980
172,-2.3439,7.5103,-0.3047,7.8735
173,2.2756,2.1869,-0.3029,3.1706
174,-5.5453,9.5274,-0.3018,11.0279
175,-4.2466,5.6452,-0.3007,7.0705
176,23.0243,-2.8274,-0.3005,23.1992
177,4.2077,2.2598,-0.3004,4.7856
178,7.5024,-1.3565,-0.2990,7.6300
179,6.6181,0.1183,-0.2984,6.6259
